standard,standard_text,area,rank,model,first_run_accuracy,ensemble_accuracy,n_questions
MS-LS4-1,"Analyze and interpret data for patterns in the fossil record that document the existence, diversity, extinction, and change of life forms throughout the history of life on Earth under the assumption that natural laws operate today as in the past.",MS-LS4,6,Llama 3.3 70b,0.963,1.0,27
MS-LS4-2,Apply scientific ideas to construct an explanation for the anatomical similarities and differences among modern organisms and between modern and fossil organisms to infer evolutionary relationships.,MS-LS4,6,Mistral Small 3.1,0.92,0.92,25
MS-LS4-3,Analyze displays of pictorial data to compare patterns of similarities in the embryological development across multiple species to identify relationships not evident in the fully formed anatomy.,MS-LS4,6,Mistral Small 3.1,0.833,0.833,12
MS-LS4-4,Construct an explanation based on evidence that describes how genetic variations of traits in a population increase some individuals' probability of surviving and reproducing in a specific environment.,MS-LS4,6,Llama 3.1 8b,0.889,1.0,9
MS-LS4-5,Gather and synthesize information about technologies that have changed the way humans influence the inheritance of desired traits in organisms.,MS-LS4,6,OSS 120b,1.0,1.0,5
MS-LS4-6,Use mathematical representations to support explanations of how natural selection may lead to increases and decreases of specific traits in populations over time.,MS-LS4,6,OSS 120b,1.0,1.0,11
MS-LS4-1,"Analyze and interpret data for patterns in the fossil record that document the existence, diversity, extinction, and change of life forms throughout the history of life on Earth under the assumption that natural laws operate today as in the past.",MS-LS4,7,OSS 20b,0.963,1.0,27
MS-LS4-2,Apply scientific ideas to construct an explanation for the anatomical similarities and differences among modern organisms and between modern and fossil organisms to infer evolutionary relationships.,MS-LS4,7,Granite 3.3 Instruct,0.76,0.88,25
MS-LS4-3,Analyze displays of pictorial data to compare patterns of similarities in the embryological development across multiple species to identify relationships not evident in the fully formed anatomy.,MS-LS4,7,Gemma 3 27b,0.75,0.667,12
MS-LS4-4,Construct an explanation based on evidence that describes how genetic variations of traits in a population increase some individuals' probability of surviving and reproducing in a specific environment.,MS-LS4,7,Llama 3.3 70b,0.889,1.0,9
MS-LS4-5,Gather and synthesize information about technologies that have changed the way humans influence the inheritance of desired traits in organisms.,MS-LS4,7,Mistral Small 3.1,0.8,1.0,5
MS-LS4-6,Use mathematical representations to support explanations of how natural selection may lead to increases and decreases of specific traits in populations over time.,MS-LS4,7,OSS 20b,1.0,1.0,11
MS-LS4-1,"Analyze and interpret data for patterns in the fossil record that document the existence, diversity, extinction, and change of life forms throughout the history of life on Earth under the assumption that natural laws operate today as in the past.",MS-LS4,8,Granite 3.3 Instruct,0.852,0.926,27
MS-LS4-2,Apply scientific ideas to construct an explanation for the anatomical similarities and differences among modern organisms and between modern and fossil organisms to infer evolutionary relationships.,MS-LS4,8,Llama 3.1 8b,0.8,0.8,25
MS-LS4-3,Analyze displays of pictorial data to compare patterns of similarities in the embryological development across multiple species to identify relationships not evident in the fully formed anatomy.,MS-LS4,8,Llama 3.1 8b,0.583,0.667,12
MS-LS4-4,Construct an explanation based on evidence that describes how genetic variations of traits in a population increase some individuals' probability of surviving and reproducing in a specific environment.,MS-LS4,8,OSS 20b,0.889,1.0,9
MS-LS4-5,Gather and synthesize information about technologies that have changed the way humans influence the inheritance of desired traits in organisms.,MS-LS4,8,OSS 20b,0.8,1.0,5
MS-LS4-6,Use mathematical representations to support explanations of how natural selection may lead to increases and decreases of specific traits in populations over time.,MS-LS4,8,Granite 3.3 Instruct,0.909,1.0,11
MS-LS4-1,"Analyze and interpret data for patterns in the fossil record that document the existence, diversity, extinction, and change of life forms throughout the history of life on Earth under the assumption that natural laws operate today as in the past.",MS-LS4,9,Llama 3.1 8b,0.778,0.815,27
MS-LS4-2,Apply scientific ideas to construct an explanation for the anatomical similarities and differences among modern organisms and between modern and fossil organisms to infer evolutionary relationships.,MS-LS4,9,OSS 20b,0.68,0.8,25
MS-LS4-3,Analyze displays of pictorial data to compare patterns of similarities in the embryological development across multiple species to identify relationships not evident in the fully formed anatomy.,MS-LS4,9,Granite 3.3 Instruct,0.5,0.583,12
MS-LS4-4,Construct an explanation based on evidence that describes how genetic variations of traits in a population increase some individuals' probability of surviving and reproducing in a specific environment.,MS-LS4,9,Granite 3.3 Instruct,0.889,0.889,9
MS-LS4-5,Gather and synthesize information about technologies that have changed the way humans influence the inheritance of desired traits in organisms.,MS-LS4,9,Llama 3.1 8b,0.6,0.6,5
MS-LS4-6,Use mathematical representations to support explanations of how natural selection may lead to increases and decreases of specific traits in populations over time.,MS-LS4,9,Llama 3.1 8b,0.909,1.0,11
MS-ESS1-1,"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases, eclipses of the sun and moon, and seasons.",MS-ESS1,1,Gemma 3 27b,1.0,1.0,26
MS-ESS1-2,Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.,MS-ESS1,1,Nemotron 3 Nano 30ba3,1.0,1.0,22
MS-ESS1-3,Analyze and interpret data to determine scale properties of objects in the solar system.,MS-ESS1,1,Nemotron 3 Nano 30ba3,0.931,1.0,29
MS-ESS1-4,Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to organize Earth's 4.6-billion-year-old history.,MS-ESS1,1,Llama 3.3 70b,1.0,1.0,19
MS-ESS1-1,"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases, eclipses of the sun and moon, and seasons.",MS-ESS1,2,Gemma 4 31b,1.0,1.0,26
MS-ESS1-2,Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.,MS-ESS1,2,OSS 120b,1.0,1.0,22
MS-ESS1-3,Analyze and interpret data to determine scale properties of objects in the solar system.,MS-ESS1,2,OSS 120b,0.931,1.0,29
MS-ESS1-4,Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to organize Earth's 4.6-billion-year-old history.,MS-ESS1,2,OSS 20b,1.0,1.0,19
MS-ESS1-1,"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases, eclipses of the sun and moon, and seasons.",MS-ESS1,3,OSS 120b,1.0,1.0,26
MS-ESS1-2,Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.,MS-ESS1,3,Mistral Small 3.1,0.909,1.0,22
MS-ESS1-3,Analyze and interpret data to determine scale properties of objects in the solar system.,MS-ESS1,3,Gemma 4 31b,0.966,0.966,29
MS-ESS1-4,Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to organize Earth's 4.6-billion-year-old history.,MS-ESS1,3,Gemma 4 31b,0.947,1.0,19
MS-ESS1-1,"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases, eclipses of the sun and moon, and seasons.",MS-ESS1,4,OSS 20b,0.923,1.0,26
MS-ESS1-2,Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.,MS-ESS1,4,Gemma 4 31b,0.955,0.955,22
MS-ESS1-3,Analyze and interpret data to determine scale properties of objects in the solar system.,MS-ESS1,4,OSS 20b,0.897,0.966,29
MS-ESS1-4,Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to organize Earth's 4.6-billion-year-old history.,MS-ESS1,4,Nemotron 3 Nano 30ba3,0.947,1.0,19
MS-ESS1-1,"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases, eclipses of the sun and moon, and seasons.",MS-ESS1,5,Llama 3.3 70b,0.962,0.962,26
MS-ESS1-2,Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.,MS-ESS1,5,Granite 3.3 Instruct,0.955,0.955,22
MS-ESS1-3,Analyze and interpret data to determine scale properties of objects in the solar system.,MS-ESS1,5,Llama 3.3 70b,0.931,0.931,29
MS-ESS1-4,Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to organize Earth's 4.6-billion-year-old history.,MS-ESS1,5,OSS 120b,0.947,1.0,19
MS-ESS1-1,"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases, eclipses of the sun and moon, and seasons.",MS-ESS1,6,Nemotron 3 Nano 30ba3,0.962,0.962,26
MS-ESS1-2,Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.,MS-ESS1,6,Gemma 3 27b,0.909,0.955,22
MS-ESS1-3,Analyze and interpret data to determine scale properties of objects in the solar system.,MS-ESS1,6,Gemma 3 27b,0.862,0.897,29
MS-ESS1-4,Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to organize Earth's 4.6-billion-year-old history.,MS-ESS1,6,Gemma 3 27b,0.895,0.895,19
MS-ESS1-1,"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases, eclipses of the sun and moon, and seasons.",MS-ESS1,7,Mistral Small 3.1,0.885,0.923,26
MS-ESS1-2,Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.,MS-ESS1,7,OSS 20b,0.909,0.955,22
MS-ESS1-3,Analyze and interpret data to determine scale properties of objects in the solar system.,MS-ESS1,7,Mistral Small 3.1,0.793,0.897,29
MS-ESS1-4,Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to organize Earth's 4.6-billion-year-old history.,MS-ESS1,7,Mistral Small 3.1,0.842,0.895,19
MS-ESS1-1,"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases, eclipses of the sun and moon, and seasons.",MS-ESS1,8,Granite 3.3 Instruct,0.808,0.769,26
MS-ESS1-2,Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.,MS-ESS1,8,Llama 3.3 70b,0.864,0.955,22
MS-ESS1-3,Analyze and interpret data to determine scale properties of objects in the solar system.,MS-ESS1,8,Granite 3.3 Instruct,0.69,0.69,29
MS-ESS1-4,Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to organize Earth's 4.6-billion-year-old history.,MS-ESS1,8,Granite 3.3 Instruct,0.842,0.789,19
MS-ESS1-1,"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases, eclipses of the sun and moon, and seasons.",MS-ESS1,9,Llama 3.1 8b,0.615,0.769,26
MS-ESS1-2,Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.,MS-ESS1,9,Llama 3.1 8b,0.636,0.727,22
MS-ESS1-3,Analyze and interpret data to determine scale properties of objects in the solar system.,MS-ESS1,9,Llama 3.1 8b,0.586,0.621,29
MS-ESS1-4,Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to organize Earth's 4.6-billion-year-old history.,MS-ESS1,9,Llama 3.1 8b,0.789,0.684,19
MS-ESS2-1,Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.,MS-ESS2,1,OSS 120b,1.0,1.0,16
MS-ESS2-2,Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.,MS-ESS2,1,OSS 120b,1.0,1.0,20
MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions.",MS-ESS2,1,Nemotron 3 Nano 30ba3,1.0,1.0,13
MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.,MS-ESS2,1,Nemotron 3 Nano 30ba3,1.0,1.0,18
MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses result in changes in weather conditions.,MS-ESS2,1,Gemma 4 31b,1.0,1.0,15
MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.,MS-ESS2,1,Gemma 4 31b,1.0,1.0,12
MS-ESS2-1,Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.,MS-ESS2,2,Granite 3.3 Instruct,0.938,1.0,16
MS-ESS2-2,Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.,MS-ESS2,2,Nemotron 3 Nano 30ba3,0.95,1.0,20
MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions.",MS-ESS2,2,OSS 120b,1.0,1.0,13
MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.,MS-ESS2,2,OSS 120b,1.0,1.0,18
MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses result in changes in weather conditions.,MS-ESS2,2,Mistral Small 3.1,0.933,1.0,15
MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.,MS-ESS2,2,OSS 120b,1.0,1.0,12
MS-ESS2-1,Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.,MS-ESS2,3,Nemotron 3 Nano 30ba3,0.938,1.0,16
MS-ESS2-2,Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.,MS-ESS2,3,OSS 20b,0.9,1.0,20
MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions.",MS-ESS2,3,OSS 20b,1.0,1.0,13
MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.,MS-ESS2,3,Gemma 3 27b,0.944,1.0,18
MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses result in changes in weather conditions.,MS-ESS2,3,OSS 120b,0.933,1.0,15
MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.,MS-ESS2,3,Nemotron 3 Nano 30ba3,0.917,1.0,12
MS-ESS2-1,Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.,MS-ESS2,4,Gemma 4 31b,0.875,1.0,16
MS-ESS2-2,Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.,MS-ESS2,4,Gemma 4 31b,1.0,0.95,20
MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions.",MS-ESS2,4,Gemma 3 27b,0.923,1.0,13
MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.,MS-ESS2,4,Llama 3.3 70b,0.944,1.0,18
MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses result in changes in weather conditions.,MS-ESS2,4,OSS 20b,0.933,1.0,15
MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.,MS-ESS2,4,Mistral Small 3.1,0.5,0.917,12
MS-ESS2-1,Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.,MS-ESS2,5,Llama 3.3 70b,0.938,0.938,16
MS-ESS2-2,Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.,MS-ESS2,5,Llama 3.3 70b,0.95,0.95,20
MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions.",MS-ESS2,5,Gemma 4 31b,0.923,1.0,13
MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.,MS-ESS2,5,Gemma 4 31b,0.944,0.944,18
MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses result in changes in weather conditions.,MS-ESS2,5,Llama 3.3 70b,0.933,0.933,15
MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.,MS-ESS2,5,Llama 3.3 70b,0.833,0.833,12
MS-ESS2-1,Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.,MS-ESS2,6,Mistral Small 3.1,0.688,0.938,16
MS-ESS2-2,Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.,MS-ESS2,6,Granite 3.3 Instruct,0.9,0.95,20
MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions.",MS-ESS2,6,Granite 3.3 Instruct,0.923,1.0,13
MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.,MS-ESS2,6,OSS 20b,0.944,0.944,18
MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses result in changes in weather conditions.,MS-ESS2,6,Nemotron 3 Nano 30ba3,0.933,0.933,15
MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.,MS-ESS2,6,Gemma 3 27b,0.75,0.75,12
MS-ESS2-1,Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.,MS-ESS2,7,Gemma 3 27b,0.938,0.875,16
MS-ESS2-2,Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.,MS-ESS2,7,Mistral Small 3.1,0.9,0.95,20
MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions.",MS-ESS2,7,Mistral Small 3.1,0.923,1.0,13
MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.,MS-ESS2,7,Granite 3.3 Instruct,0.833,0.944,18
MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses result in changes in weather conditions.,MS-ESS2,7,Gemma 3 27b,0.867,0.933,15
MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.,MS-ESS2,7,OSS 20b,0.75,0.75,12
MS-ESS2-1,Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.,MS-ESS2,8,OSS 20b,0.938,0.875,16
MS-ESS2-2,Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.,MS-ESS2,8,Gemma 3 27b,0.85,0.85,20
MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions.",MS-ESS2,8,Llama 3.3 70b,0.923,0.923,13
MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.,MS-ESS2,8,Llama 3.1 8b,0.833,0.889,18
MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses result in changes in weather conditions.,MS-ESS2,8,Granite 3.3 Instruct,0.533,0.933,15
MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.,MS-ESS2,8,Llama 3.1 8b,0.75,0.667,12
MS-ESS2-1,Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.,MS-ESS2,9,Llama 3.1 8b,0.75,0.688,16
MS-ESS2-2,Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.,MS-ESS2,9,Llama 3.1 8b,0.75,0.8,20
MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions.",MS-ESS2,9,Llama 3.1 8b,0.615,0.769,13
MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.,MS-ESS2,9,Mistral Small 3.1,0.833,0.889,18
MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses result in changes in weather conditions.,MS-ESS2,9,Llama 3.1 8b,0.733,0.867,15
MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.,MS-ESS2,9,Granite 3.3 Instruct,0.583,0.5,12
MS-ESS3-1,"Construct a scientific explanation based on evidence for how the uneven distributions of Earth's mineral, energy, and groundwater resources are the result of past and current geoscience processes.",MS-ESS3,1,Gemma 4 31b,1.0,1.0,25
MS-ESS3-2,Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development of technologies to mitigate their effects.,MS-ESS3,1,Gemma 4 31b,1.0,1.0,23
MS-ESS3-3,Apply scientific principles to design a method for monitoring and minimizing a human impact on the environment.,MS-ESS3,1,Gemma 4 31b,1.0,1.0,15
MS-ESS3-4,Construct an argument supported by evidence for how increases in human population and per-capita consumption of natural resources impact Earth's systems.,MS-ESS3,1,Mistral Small 3.1,1.0,1.0,15
MS-ESS3-5,Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past century.,MS-ESS3,1,Gemma 4 31b,1.0,1.0,13
MS-ESS3-1,"Construct a scientific explanation based on evidence for how the uneven distributions of Earth's mineral, energy, and groundwater resources are the result of past and current geoscience processes.",MS-ESS3,2,Nemotron 3 Nano 30ba3,1.0,1.0,25
MS-ESS3-2,Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development of technologies to mitigate their effects.,MS-ESS3,2,Granite 3.3 Instruct,1.0,1.0,23
MS-ESS3-3,Apply scientific principles to design a method for monitoring and minimizing a human impact on the environment.,MS-ESS3,2,Llama 3.3 70b,1.0,1.0,15
MS-ESS3-4,Construct an argument supported by evidence for how increases in human population and per-capita consumption of natural resources impact Earth's systems.,MS-ESS3,2,OSS 20b,1.0,1.0,15
MS-ESS3-5,Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past century.,MS-ESS3,2,Llama 3.3 70b,1.0,1.0,13
MS-ESS3-1,"Construct a scientific explanation based on evidence for how the uneven distributions of Earth's mineral, energy, and groundwater resources are the result of past and current geoscience processes.",MS-ESS3,3,OSS 120b,1.0,1.0,25
MS-ESS3-2,Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development of technologies to mitigate their effects.,MS-ESS3,3,OSS 120b,0.957,1.0,23
MS-ESS3-3,Apply scientific principles to design a method for monitoring and minimizing a human impact on the environment.,MS-ESS3,3,Mistral Small 3.1,1.0,1.0,15
MS-ESS3-4,Construct an argument supported by evidence for how increases in human population and per-capita consumption of natural resources impact Earth's systems.,MS-ESS3,3,Llama 3.3 70b,0.933,1.0,15
MS-ESS3-5,Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past century.,MS-ESS3,3,Mistral Small 3.1,1.0,1.0,13
MS-ESS3-1,"Construct a scientific explanation based on evidence for how the uneven distributions of Earth's mineral, energy, and groundwater resources are the result of past and current geoscience processes.",MS-ESS3,4,OSS 20b,0.92,1.0,25
MS-ESS3-2,Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development of technologies to mitigate their effects.,MS-ESS3,4,Nemotron 3 Nano 30ba3,0.957,0.957,23
MS-ESS3-3,Apply scientific principles to design a method for monitoring and minimizing a human impact on the environment.,MS-ESS3,4,Nemotron 3 Nano 30ba3,1.0,1.0,15
MS-ESS3-4,Construct an argument supported by evidence for how increases in human population and per-capita consumption of natural resources impact Earth's systems.,MS-ESS3,4,Gemma 4 31b,1.0,0.933,15
MS-ESS3-5,Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past century.,MS-ESS3,4,OSS 20b,1.0,1.0,13
MS-ESS3-1,"Construct a scientific explanation based on evidence for how the uneven distributions of Earth's mineral, energy, and groundwater resources are the result of past and current geoscience processes.",MS-ESS3,5,Mistral Small 3.1,0.88,1.0,25
MS-ESS3-2,Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development of technologies to mitigate their effects.,MS-ESS3,5,OSS 20b,0.957,0.957,23
MS-ESS3-3,Apply scientific principles to design a method for monitoring and minimizing a human impact on the environment.,MS-ESS3,5,OSS 120b,1.0,1.0,15
MS-ESS3-4,Construct an argument supported by evidence for how increases in human population and per-capita consumption of natural resources impact Earth's systems.,MS-ESS3,5,Granite 3.3 Instruct,0.933,0.933,15
MS-ESS3-5,Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past century.,MS-ESS3,5,Granite 3.3 Instruct,0.923,1.0,13
MS-ESS3-1,"Construct a scientific explanation based on evidence for how the uneven distributions of Earth's mineral, energy, and groundwater resources are the result of past and current geoscience processes.",MS-ESS3,6,Llama 3.3 70b,1.0,0.96,25
MS-ESS3-2,Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development of technologies to mitigate their effects.,MS-ESS3,6,Mistral Small 3.1,0.913,0.957,23
MS-ESS3-3,Apply scientific principles to design a method for monitoring and minimizing a human impact on the environment.,MS-ESS3,6,Granite 3.3 Instruct,0.933,1.0,15
MS-ESS3-4,Construct an argument supported by evidence for how increases in human population and per-capita consumption of natural resources impact Earth's systems.,MS-ESS3,6,Llama 3.1 8b,0.933,0.933,15
MS-ESS3-5,Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past century.,MS-ESS3,6,Nemotron 3 Nano 30ba3,0.923,1.0,13
MS-ESS3-1,"Construct a scientific explanation based on evidence for how the uneven distributions of Earth's mineral, energy, and groundwater resources are the result of past and current geoscience processes.",MS-ESS3,7,Granite 3.3 Instruct,0.84,0.92,25
MS-ESS3-2,Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development of technologies to mitigate their effects.,MS-ESS3,7,Llama 3.3 70b,0.826,0.957,23
MS-ESS3-3,Apply scientific principles to design a method for monitoring and minimizing a human impact on the environment.,MS-ESS3,7,Llama 3.1 8b,0.933,1.0,15
MS-ESS3-4,Construct an argument supported by evidence for how increases in human population and per-capita consumption of natural resources impact Earth's systems.,MS-ESS3,7,Nemotron 3 Nano 30ba3,0.933,0.933,15
MS-ESS3-5,Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past century.,MS-ESS3,7,OSS 120b,0.846,1.0,13
MS-ESS3-1,"Construct a scientific explanation based on evidence for how the uneven distributions of Earth's mineral, energy, and groundwater resources are the result of past and current geoscience processes.",MS-ESS3,8,Llama 3.1 8b,0.8,0.92,25
MS-ESS3-2,Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development of technologies to mitigate their effects.,MS-ESS3,8,Llama 3.1 8b,0.913,0.913,23
MS-ESS3-3,Apply scientific principles to design a method for monitoring and minimizing a human impact on the environment.,MS-ESS3,8,OSS 20b,0.933,1.0,15
MS-ESS3-4,Construct an argument supported by evidence for how increases in human population and per-capita consumption of natural resources impact Earth's systems.,MS-ESS3,8,OSS 120b,0.933,0.933,15
MS-ESS3-5,Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past century.,MS-ESS3,8,Llama 3.1 8b,0.923,0.923,13
MS-ESS3-1,"Construct a scientific explanation based on evidence for how the uneven distributions of Earth's mineral, energy, and groundwater resources are the result of past and current geoscience processes.",MS-ESS3,9,Gemma 3 27b,0.92,0.84,25
MS-ESS3-2,Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development of technologies to mitigate their effects.,MS-ESS3,9,Gemma 3 27b,0.913,0.826,23
MS-ESS3-3,Apply scientific principles to design a method for monitoring and minimizing a human impact on the environment.,MS-ESS3,9,Gemma 3 27b,0.8,0.867,15
MS-ESS3-4,Construct an argument supported by evidence for how increases in human population and per-capita consumption of natural resources impact Earth's systems.,MS-ESS3,9,Gemma 3 27b,0.867,0.867,15
MS-ESS3-5,Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past century.,MS-ESS3,9,Gemma 3 27b,0.846,0.923,13
MS-ETS1-1,"Define the criteria and constraints of a design problem with sufficient precision to ensure a successful solution, taking into account relevant scientific principles and potential impacts on people and the natural environment that may limit possible solutions.",MS-ETS1,1,Gemma 3 27b,1.0,1.0,28
MS-ETS1-2,Evaluate competing design solutions using a systematic process to determine how well they meet the criteria and constraints of the problem.,MS-ETS1,1,Gemma 3 27b,1.0,1.0,18
MS-ETS1-3,Analyze data from tests to determine similarities and differences among several design solutions to identify the best characteristics of each that can be combined into a new solution to better meet the criteria for success.,MS-ETS1,1,Llama 3.3 70b,1.0,1.0,19
MS-ETS1-4,"Develop a model to generate data for iterative testing and modification of a proposed object, tool, or process such that an optimal design can be achieved.",MS-ETS1,1,Gemma 4 31b,1.0,1.0,23
MS-ETS1-1,"Define the criteria and constraints of a design problem with sufficient precision to ensure a successful solution, taking into account relevant scientific principles and potential impacts on people and the natural environment that may limit possible solutions.",MS-ETS1,2,Gemma 4 31b,1.0,1.0,28
MS-ETS1-2,Evaluate competing design solutions using a systematic process to determine how well they meet the criteria and constraints of the problem.,MS-ETS1,2,Gemma 4 31b,1.0,1.0,18
